x: 198, y: -178
x: 196.05316566333283, y: -177.5419213325489
x: 194.10633132666567, y: -177.08384266509782
x: 192.1594969899985, y: -176.62576399764671
x: 190.21266265333134, y: -176.1676853301956
x: 188.26582831666428, y: -175.70960666274453
x: 186.31899397999712, y: -175.25152799529343
x: 184.37215964332995, y: -174.79344932784232
x: 182.42532530666278, y: -174.33537066039122
x: 180.54571486070688, y: -173.65194943489888
x: 178.66610441475098, y: -172.96852820940654
x: 176.78649396879507, y: -172.28510698391426
x: 174.90688352283917, y: -171.60168575842192
x: 173.02727307688326, y: -170.91826453292958
x: 171.14766263092736, y: -170.23484330743725
x: 169.26805218497145, y: -169.5514220819449
x: 167.38844173901555, y: -168.86800085645262
x: 165.50883129305964, y: -168.1845796309603
x: 163.62922084710374, y: -167.50115840546795
x: 161.74961040114783, y: -166.8177371799756
x: 159.86999995519193, y: -166.13431595448327
x: 157.99038950923602, y: -165.450894728991
x: 156.11077906328012, y: -164.76747350349865
x: 154.3003248453307, y: -163.91761732466063
x: 152.48987062738126, y: -163.06776114582254
x: 150.67941640943195, y: -162.21790496698452
x: 148.86896219148252, y: -161.3680487881465
x: 147.0585079735331, y: -160.51819260930841
x: 145.24805375558367, y: -159.6683364304704
x: 143.43759953763424, y: -158.81848025163237
x: 141.62714531968481, y: -157.96862407279428
x: 139.8166911017355, y: -157.11876789395626
x: 138.00623688378607, y: -156.26891171511824
x: 136.19578266583665, y: -155.4190555362802
x: 134.38532844788722, y: -154.56919935744213
x: 132.5748742299378, y: -153.7193431786041
x: 130.76442001198836, y: -152.86948699976608
x: 128.95396579403905, y: -152.019630820928
x: 127.14351157608962, y: -151.16977464208998
x: 125.3330573581402, y: -150.31991846325195
x: 123.52260314019077, y: -149.47006228441387
x: 121.71214892224134, y: -148.62020610557585
x: 119.90169470429191, y: -147.77034992673782
x: 118.0912404863426, y: -146.92049374789974
x: 116.28078626839317, y: -146.07063756906172
x: 114.68884764324423, y: -144.8599636188345
x: 113.09690901809518, y: -143.6492896686073
x: 111.50497039294623, y: -142.4386157183801
x: 109.91303176779718, y: -141.2279417681529
x: 108.32109314264824, y: -140.0172678179257
x: 106.72915451749918, y: -138.80659386769855
x: 105.13721589235024, y: -137.59591991747135
x: 103.54527726720119, y: -136.38524596724415
x: 101.95333864205224, y: -135.17457201701694
x: 100.36140001690319, y: -133.96389806678974
x: 98.76946139175425, y: -132.75322411656254
x: 97.1775227666052, y: -131.54255016633533
x: 95.58558414145625, y: -130.33187621610813
x: 93.9936455163072, y: -129.12120226588092
x: 92.40170689115826, y: -127.91052831565378
x: 90.8097682660092, y: -126.69985436542657
x: 89.21782964086026, y: -125.48918041519937
x: 87.62589101571132, y: -124.27850646497217
x: 86.03395239056226, y: -123.06783251474496
x: 84.44201376541332, y: -121.85715856451776
x: 82.85007514026427, y: -120.64648461429056
x: 81.42729233353418, y: -119.24089253802049
x: 80.00450952680399, y: -117.83530046175048
x: 78.5817267200739, y: -116.42970838548041
x: 77.1589439133437, y: -115.0241163092104
x: 75.73616110661362, y: -113.61852423294033
x: 74.31337829988342, y: -112.21293215667032
x: 72.89059549315334, y: -110.80734008040025
x: 71.46781268642326, y: -109.40174800413024
x: 70.04502987969306, y: -107.99615592786017
x: 68.62224707296298, y: -106.59056385159016
x: 67.19946426623278, y: -105.1849717753201
x: 65.84117838923248, y: -103.71695969214727
x: 64.48289251223218, y: -102.24894760897439
x: 63.124606635231885, y: -100.78093552580157
x: 61.76632075823147, y: -99.31292344262869
x: 60.408034881231174, y: -97.84491135945586
x: 59.049749004230875, y: -96.37689927628304
x: 57.69146312723058, y: -94.90888719311016
x: 56.33317725023028, y: -93.44087510993734
x: 55.133086491593076, y: -91.84094318293745
x: 53.932995732955874, y: -90.24101125593756
x: 52.73290497431867, y: -88.64107932893768
x: 51.53281421568147, y: -87.04114740193779
x: 50.33272345704415, y: -85.4412154749379
x: 49.13263269840695, y: -83.84128354793802
x: 47.93254193976975, y: -82.24135162093819
x: 46.73245118113255, y: -80.6414196939383
x: 45.532360422495344, y: -79.04148776693842
x: 44.33226966385814, y: -77.44155583993853
x: 43.13217890522094, y: -75.84162391293864
x: 41.93208814658374, y: -74.24169198593876
x: 40.731997387946535, y: -72.64176005893887
x: 39.53190662930933, y: -71.04182813193898
x: 38.33181587067202, y: -69.4418962049391
x: 37.131725112034815, y: -67.84196427793921
x: 35.93163435339761, y: -66.24203235093933
x: 35.11403321778221, y: -64.416784865517
x: 34.2964320821668, y: -62.591537380094735
x: 33.47883094655151, y: -60.76628989467241
x: 32.661229810936106, y: -58.94104240925009
x: 31.8436286753207, y: -57.11579492382782
x: 31.026027539705296, y: -55.2905474384055
x: 30.623002682120955, y: -53.331575523300785
x: 30.219977824536613, y: -51.372603608196016
x: 29.81695296695227, y: -49.413631693091304
x: 29.41392810936793, y: -47.454659777986535
x: 29.010903251783702, y: -45.49568786288182
x: 28.60787839419936, y: -43.536715947777054
x: 28.20485353661502, y: -41.57774403267234
x: 27.801828679030677, y: -39.61877211756757
x: 27.398803821446336, y: -37.65980020246286
x: 26.995778963861994, y: -35.70082828735809
x: 26.592754106277653, y: -33.74185637225338
x: 26.18972924869331, y: -31.78288445714861
x: 25.786704391109083, y: -29.8239125420439
x: 25.38367953352474, y: -27.86494062693913
x: 25.32835542907344, y: -25.865705962507093
x: 25.27303132462214, y: -23.866471298075055
x: 25.217707220170837, y: -21.867236633643017
x: 25.162383115719535, y: -19.86800196921098
x: 25.107059011268234, y: -17.86876730477894
x: 25.051734906816932, y: -15.86953264034696
x: 25.643854569851783, y: -13.959193847188146
x: 26.235974232886633, y: -12.048855054029332
x: 26.828093895921597, y: -10.138516260870517
x: 27.420213558956448, y: -8.228177467711703
x: 28.012333221991298, y: -6.317838674552888
x: 28.60445288502615, y: -4.407499881394074
x: 29.196572548061, y: -2.4971610882352593
x: 29.78869221109585, y: -0.5868222950764448
x: 30.380811874130814, y: 1.3235164980823697
x: 30.972931537165664, y: 3.233855291241184
x: 31.565051200200514, y: 5.144194084399999
x: 32.157170863235365, y: 7.054532877558813
x: 32.749290526270215, y: 8.964871670717628
x: 33.34141018930518, y: 10.875210463876442
x: 34.34939405510886, y: 12.60262718438122
x: 35.35737792091254, y: 14.330043904885997
x: 36.36536178671622, y: 16.057460625390718
x: 37.3733456525199, y: 17.784877345895495
x: 38.381329518323696, y: 19.512294066400273
x: 39.38931338412738, y: 21.23971078690505
x: 40.39729724993106, y: 22.967127507409828
x: 41.939829470863515, y: 24.240153173838053
x: 43.482361691796086, y: 25.513178840266335
x: 45.024893912728544, y: 26.78620450669456
x: 46.567426133661, y: 28.05923017312284
x: 48.10995835459346, y: 29.332255839551067
x: 49.65249057552603, y: 30.605281505979292
x: 51.19502279645849, y: 31.878307172407574
x: 52.737555017390946, y: 33.1513328388358
x: 54.280087238323404, y: 34.42435850526408
x: 55.822619459255975, y: 35.697384171692306
x: 57.36515168018843, y: 36.97040983812053
x: 58.90768390112089, y: 38.24343550454881
x: 60.45021612205335, y: 39.51646117097704
x: 61.99274834298592, y: 40.78948683740532
x: 63.53528056391838, y: 42.062512503833545
x: 65.07781278485083, y: 43.33553817026177
x: 66.6203450057834, y: 44.60856383669005
x: 68.16287722671586, y: 45.88158950311828
x: 69.70540944764832, y: 47.15461516954656
x: 71.24794166858078, y: 48.427640835974785
x: 72.79047388951335, y: 49.70066650240301
x: 74.33300611044581, y: 50.97369216883129
x: 75.87553833137827, y: 52.24671783525952
x: 77.60018061203084, y: 53.25944139269541
x: 79.3248228926833, y: 54.2721649501313
x: 81.04946517333588, y: 55.28488850756719
x: 82.77410745398845, y: 56.29761206500308
x: 84.49874973464091, y: 57.31033562243897
x: 86.22339201529348, y: 58.32305917987492
x: 87.94803429594606, y: 59.33578273731081
x: 89.67267657659852, y: 60.3485062947467
x: 91.3973188572511, y: 61.36122985218259
x: 93.12196113790367, y: 62.37395340961848
x: 94.84660341855613, y: 63.38667696705437
x: 96.5712456992087, y: 64.39940052449026
x: 98.29588797986128, y: 65.41212408192615
x: 100.02053026051374, y: 66.42484763936204
x: 101.97392333588391, y: 66.85409755851845
x: 103.92731641125408, y: 67.28334747767485
x: 105.88070948662437, y: 67.71259739683126
x: 107.83410256199454, y: 68.14184731598766
x: 109.78749563736471, y: 68.57109723514407
x: 111.74088871273489, y: 69.00034715430047
x: 113.69428178810506, y: 69.42959707345688
x: 115.64767486347523, y: 69.85884699261322
x: 117.60106793884552, y: 70.28809691176963
x: 119.55446101421569, y: 70.71734683092603
x: 121.50785408958586, y: 71.14659675008244
x: 123.46124716495603, y: 71.57584666923884
x: 125.41464024032621, y: 72.00509658839525
x: 127.3680333156965, y: 72.43434650755165
x: 129.32142639106667, y: 72.86359642670806
x: 131.27481946643684, y: 73.29284634586446
x: 133.228212541807, y: 73.72209626502087
x: 135.18160561717718, y: 74.15134618417727
x: 137.13499869254747, y: 74.58059610333368
x: 139.08839176791764, y: 75.00984602249008
x: 141.04178484328781, y: 75.43909594164649
x: 142.995177918658, y: 75.86834586080289
x: 144.94857099402816, y: 76.29759577995924
x: 146.90196406939833, y: 76.72684569911564
x: 148.85535714476862, y: 77.15609561827205
x: 150.8087502201388, y: 77.58534553742845
x: 152.76214329550896, y: 78.01459545658486
x: 154.71553637087914, y: 78.44384537574126
x: 156.6689294462493, y: 78.87309529489767
x: 158.62232252161948, y: 79.30234521405407
x: 160.57571559698977, y: 79.73159513321048
x: 162.52910867235994, y: 80.16084505236688
x: 164.4825017477301, y: 80.59009497152329
x: 166.43589482310028, y: 81.01934489067969
x: 168.38928789847046, y: 81.4485948098361
x: 170.34268097384074, y: 81.8778447289925
x: 172.29607404921092, y: 82.3070946481489
x: 174.2494671245811, y: 82.73634456730531
x: 176.20286019995126, y: 83.16559448646171
x: 178.15625327532143, y: 83.59484440561812
x: 180.1535064519759, y: 83.69962869997516
x: 182.15075962863023, y: 83.80441299433221
x: 184.14801280528468, y: 83.90919728868914
x: 186.14526598193902, y: 84.01398158304619
x: 188.14251915859347, y: 84.11876587740323
x: 190.1397723352478, y: 84.22355017176028
x: 192.13702551190227, y: 84.32833446611721
x: 194.1342786885566, y: 84.43311876047426
x: 196.13153186521106, y: 84.5379030548313
x: 198.1287850418655, y: 84.64268734918835
x: 200.12603821851985, y: 84.74747164354528
x: 202.1232913951743, y: 84.85225593790233
x: 204.12054457182865, y: 84.95704023225937
x: 206.1177977484831, y: 85.06182452661642
x: 208.11505092513744, y: 85.16660882097335
x: 210.1123041017919, y: 85.2713931153304
x: 212.10955727844623, y: 85.37617740968744
